category,base_AP,specialist_AP,route_from_fast_val,delta_specialist_vs_base
Галантерея и аксессуары,0.5411606100438731,0.5475435225360268,base,0.006382912492153725
Обувь,0.32326687052187214,0.3482819937403138,specialist,0.02501512321844168
Одежда,0.4314394902895451,0.4576739980946834,specialist,0.026234507805138307
Ювелирные изделия,0.6418618217349626,0.6646124414255921,specialist,0.022750619690629414
