feature,importance
category,12.53222323269344
number_jaccard,5.597186981455143
attr_key_common,4.701623396874393
token_common,4.624063209332374
token_union,4.222441702827533
token_containment,4.048836117733245
color_status,3.9892058854059997
attr_value_jaccard,3.7356305568832004
attr_count_ratio,3.5897367012403847
char_hash_cos,3.5352331860112733
unit_jaccard,3.3093040232166695
attr_key_jaccard,3.0337849774768264
code_jaccard,2.9908705011783505
number_union,2.8926957396901916
attr_value_common,2.837064427793621
unit_union,2.6749237098361616
number_common,2.184134060064434
article_status,1.94489459355898
code_union,1.7551038869567834
material_status,1.7441122955988013
attr_count_diff,1.6741812307892312
code_conflict,1.5669135517362367
color_present,1.5431704770033234
code_common,1.5118790653378777
name_ratio,1.4455948858464847
material_present,1.3635515816017423
word_hash_cos,1.2681357901743286
unit_common,1.238538166332615
unit_conflict,1.1383479462723929
token_jaccard,1.1289663216394572
name_len_ratio,1.1276544569340248
name_token_set,1.0620064342050912
name_len_diff,1.0320710032343543
brand_status,0.9916347141557221
size_status,0.9569038184101121
size_present,0.9567242785972778
number_conflict,0.8192124697856918
name_token_sort,0.741493949500724
gender_status,0.647767516635762
article_present,0.6062558645218641
name_contains,0.523114343001025
gender_present,0.3909128069441878
brand_present,0.18852200202011254
model_status,0.07191088090113279
model_present,0.03340861526772481
number_equal,0.01050590534368836
code_equal,0.009437840767765401
unit_equal,0.008114897212239906
name_exact,0.0
