category,pairs,positive_rate,PR_AUC
Обувь,6199,0.07226972092272947,0.32326687052187214
Одежда,10744,0.05426284437825763,0.4314394902895451
Галантерея и аксессуары,11660,0.07830188679245283,0.5411606100438731
Ювелирные изделия,1265,0.18102766798418973,0.6418618217349626
