top_frac,bge_weight,tune,eval,full
0.3,0.15,0.7756132139294939,0.7692149738035828,0.7718637349016714
0.25,0.15,0.7756003539097476,0.7691796251918657,0.7717609510115979
0.3,0.125,0.7755963460125661,0.7690486306588706,0.7716827357616645
0.3,0.075,0.7755753550531427,0.7685449667416309,0.7714438480257237
0.25,0.2,0.7755684634528912,0.7693429002286962,0.7719193431368861
0.2,0.2,0.7755658909769194,0.7692343487550135,0.7718338961479121
0.3,0.2,0.7755539163300991,0.7693026273741268,0.7718982000453953
0.25,0.075,0.7755423144594509,0.7683359703678327,0.7713228847531614
0.25,0.125,0.7754890418640628,0.7690298938207845,0.7715869680556483
0.2,0.15,0.7754785139789245,0.7690954379097665,0.771609656582482
0.3,0.1,0.7754656629550234,0.7687822500760519,0.7715921867216482
0.15,0.2,0.7754330089499734,0.7692414522296647,0.7716952303125528
0.25,0.1,0.7754223523311656,0.768688233158212,0.7715068638622701
0.3,0.05,0.7753952757482334,0.767927822835879,0.771077407915539
0.2,0.1,0.7753746855097707,0.7684633782532252,0.7713329329085545
0.2,0.125,0.7753721297067464,0.7689030097151754,0.771495925182655
0.2,0.075,0.7753353402997203,0.768200585390921,0.7711529150590396
0.25,0.05,0.7753126558431427,0.7678806322569669,0.7710208344422378
0.15,0.15,0.7752759117379325,0.768936669389728,0.7714475941169776
0.15,0.125,0.775257322145863,0.7686107533671018,0.7712347218541511
0.15,0.1,0.7752432125524304,0.768341949411123,0.771166274951569
0.2,0.05,0.7752270478140522,0.7677238005107354,0.7708787856128578
0.1,0.2,0.7752237547016158,0.7689545880839843,0.7714568793458431
0.15,0.075,0.7752178953840604,0.767983092177347,0.7709699595735267
0.15,0.05,0.775146000520608,0.7675816486136445,0.7707285929503755
0.1,0.15,0.7751371865394734,0.7686050581101584,0.7711415322835002
0.1,0.125,0.7751333108668021,0.7683482738486545,0.7710347817143882
0.25,0.025,0.7751234010803002,0.7675889021172104,0.7707177355331845
0.3,0.025,0.7751174148769107,0.7677092901958177,0.7707869144962621
0.1,0.075,0.7751011057762534,0.7676900879968768,0.7707445638769915
0.1,0.1,0.7750767681387315,0.7679163478964741,0.7708892794744863
0.2,0.025,0.7750654740674879,0.7674647864483565,0.7706195153878881
0.1,0.05,0.7750484013344038,0.7674644860854306,0.7706370649092276
0.15,0.025,0.7750307366794086,0.7673821901863658,0.7705370737687248
0.05,0.1,0.775001509267252,0.767453914053565,0.7705408592058773
0.05,0.2,0.7749932565485804,0.7682232628262395,0.7708671233283736
0.05,0.125,0.7749635003562401,0.7675669496133567,0.7706062673473147
0.05,0.075,0.774944127219459,0.7673140285343611,0.7705027173326731
0.05,0.05,0.7749285946664394,0.7672205699318622,0.7704051369401979
0.05,0.15,0.7749104955015319,0.7678604052754163,0.7706983074107359
0.1,0.025,0.7748867117304458,0.7671427377869027,0.7703823647032745
0.05,0.025,0.7748569578523601,0.7669383665053859,0.7702491966532538
0.1,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
0.05,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
0.2,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
0.15,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
0.25,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
0.3,0.0,0.774751154830206,0.7667150912382683,0.7701124939243256
